Property                                     Type     Read-only  Value
CONFIG.C0.DDR4_MemoryName                    string   false      MainMemory
CONFIG.C0.DDR4_MemoryPart                    string   false      MT40A512M16LY-075
CONFIG.C0.DDR4_MemoryType                    string   false      Components
CONFIG.C0.DDR4_MemoryVoltage                 string   false      1.2V
CONFIG.C0.DDR4_ODT_SKEW_0                    string   false      0
CONFIG.C0.DDR4_ODT_SKEW_1                    string   false      0
CONFIG.C0.DDR4_ODT_SKEW_2                    string   false      0
CONFIG.C0.DDR4_ODT_SKEW_3                    string   false      0
CONFIG.C0.DDR4_OnDieTermination              string   false      RZQ/6
CONFIG.C0.DDR4_Ordering                      string   false      Normal
CONFIG.C0.DDR4_OutputDriverImpedenceControl  string   false      RZQ/7
CONFIG.C0.DDR4_PAR_SKEW                      string   false      0
CONFIG.C0.DDR4_PhyClockRatio                 string   false      4:1
CONFIG.C0.DDR4_RESTORE_CRC                   string   false      false
CONFIG.C0.DDR4_SAVE_RESTORE                  string   false      false
CONFIG.C0.DDR4_SELF_REFRESH                  string   false      false
CONFIG.C0.DDR4_Slot                          string   false      Single
CONFIG.C0.DDR4_Specify_MandD                 string   false      false
CONFIG.C0.DDR4_TREFI                         string   false      0
CONFIG.C0.DDR4_TRFC                          string   false      0
CONFIG.C0.DDR4_TRFC_DLR                      string   false      0
CONFIG.C0.DDR4_TXPR                          string   false      0
CONFIG.C0.DDR4_TimePeriod                    string   false      1250
CONFIG.C0.DDR4_UserRefresh_ZQCS              string   false      false
CONFIG.C0.DDR4_isCKEShared                   string   false      false
CONFIG.C0.DDR4_isCustom                      string   false      false
CONFIG.C0.DDR4_nCK_TREFI                     string   false      0
CONFIG.C0.DDR4_nCK_TRFC                      string   false      0
CONFIG.C0.DDR4_nCK_TRFC_DLR                  string   false      0
CONFIG.C0.DDR4_nCK_TXPR                      string   false      5
CONFIG.C0.LR_WIDTH                           string   false      1
CONFIG.C0.MIGRATION                          string   false      false
CONFIG.C0.ODT_WIDTH                          string   false      1
CONFIG.C0.StackHeight                        string   false      1
CONFIG.C0_CLOCK_BOARD_INTERFACE              string   false      Custom
CONFIG.C0_DDR4_ARESETN.INSERT_VIP            string   false      0
CONFIG.C0_DDR4_BOARD_INTERFACE               string   false      Custom
CONFIG.C0_DDR4_CLOCK.INSERT_VIP              string   false      0
CONFIG.C0_DDR4_MEMORY_MAP_BASEADDR           string   false      0x00000000
CONFIG.C0_DDR4_MEMORY_MAP_CTRL_BASEADDR      string   false      0x00000000
CONFIG.C0_DDR4_MEMORY_MAP_CTRL_HIGHADDR      string   false      0xFFFFFFFF
CONFIG.C0_DDR4_MEMORY_MAP_HIGHADDR           string   false      0xFFFFFFFF
CONFIG.C0_DDR4_RESET.INSERT_VIP              string   false      0
CONFIG.C0_DDR4_S_AXI.INSERT_VIP              string   false      0
CONFIG.C0_DDR4_S_AXI_CTRL.INSERT_VIP         string   false      0
CONFIG.C0_SYS_CLK_I.INSERT_VIP               string   false      0
CONFIG.CLKOUT6                               string   false      false
CONFIG.Component_Name                        string   true       pl_ddr4
CONFIG.DCI_Cascade                           string   false      false
CONFIG.DIFF_TERM_SYSCLK                      string   false      false
CONFIG.Debug_Signal                          string   false      Disable
CONFIG.Default_Bank_Selections               string   false      false
CONFIG.EN_PP_4R_MIR                          string   false      false
CONFIG.Enable_SysPorts                       string   false      true
CONFIG.Example_TG                            string   false      SIMPLE_TG
CONFIG.IOPowerReduction                      string   false      OFF
CONFIG.IO_Power_Reduction                    string   false      false
CONFIG.IS_FROM_PHY                           string   false      1
CONFIG.MCS_DBG_EN                            string   false      false
CONFIG.MCS_WO_DSP                            string   false      false
CONFIG.No_Controller                         string   false      1
CONFIG.PARTIAL_RECONFIG_FLOW_MIG             string   false      false
CONFIG.PING_PONG_PHY                         string   false      1
CONFIG.Phy_Only                              string   false      Complete_Memory_Controller
CONFIG.RECONFIG_XSDB_SAVE_RESTORE            string   false      false
CONFIG.RESET_BOARD_INTERFACE                 string   false      Custom
CONFIG.Reference_Clock                       string   false      Differential
CONFIG.SET_DW_TO_40                          string   false      false
CONFIG.SYSTEM_RESET.INSERT_VIP               string   false      0
CONFIG.Simulation_Mode                       string   false      BFM
CONFIG.System_Clock                          string   false      Differential
CONFIG.TIMING_3DS                            string   false      false
CONFIG.TIMING_OP1                            string   false      false
CONFIG.TIMING_OP2                            string   false      false
CORE_REVISION                                long     true       28
DELIVERED_TARGETS                            string*  true       
DESIGN_TOOL_CONTEXTS                         string*  true       HDL IPI Sysgen
IPDEF                                        string   true       xilinx.com:ip:ddr4:2.2
IP_CORE_CONTAINER                            string   true       
IP_DIR                                       string   true       /home/dsh/Desktop/design2allegro/build/parser/xczu15eg_vivado/project/xczu15eg_minimal.srcs/sources_1/ip/pl_ddr4
IP_FILE                                      string   true       /home/dsh/Desktop/design2allegro/build/parser/xczu15eg_vivado/project/xczu15eg_minimal.srcs/sources_1/ip/pl_ddr4/pl_ddr4.xci
IS_BD_CONTEXT                                bool     true       0
IS_BOARD_AWARE                               bool     true       1
IS_LOCKED                                    bool     true       0
KNOWN_TARGETS                                string*  true       instantiation_template synthesis simulation implementation example changelog
NAME                                         string   true       pl_ddr4
PART                                         string   true       xczu15eg-ffvb1156-2-i
SELECTED_SIM_MODEL                           enum     false      rtl
STALE_TARGETS                                string*  true       
SUPPORTED_TARGETS                            string*  true       instantiation_template synthesis simulation implementation example changelog
SUPPORTS_MODREF                              bool     true       1
SW_VERSION                                   string   true       2025.2
UNSUPPORTED_SIMULATORS                       string*  true       
USED_LICENSE_KEYS                            string*  true       
USER_LOCKED                                  bool     false      0
